Nit|GESTOR|N°|COD. SUC|DEPARTAMENTO|CIUDAD / MUNICIPIO|"TIPOLOGIA (PROPIA/ALIADA)"|DANE|NOMBRE DE LA FARMACIA|DIRECCIÓN DE CONTACTO|TIPO DE ATENCIÓN FISICO/DOMICILIO|CANAL DOMICILIO|TELÉFONO DE CONTACTO|HORARIO ATENCIÓN|DISPENSACIÓN DE MEDICAMENTOS REFRIGERADOS (S/N)|DISPENSACIÓN DE MEDICAMENTOS DE CONTROL ESPECIAL (S/N)|DISPENSACIÓN DE MEDICAMENTOS ALTO COSTO (S/N)|TUTELA (S/N)|NO PBS|PBS|COBERTURA|PLAN PREMIUM|ATENCION 24 HORAS (S/N)|DOMINGOS/ FESTIVOS(S/N)|NOVEDADES EN PUNTOS|LATITUD|LONGITUD|CAJAS
900249425|PHARMASAN|1|54003_1|NORTE DE SANTANDER|ABREGO|PROPIA|54003|PHARMASAN ABREGO|Calle 16 # 4 97 Barrio Santa Bárbara.|PUNTO FÍSICO|NO APLICA|18000423739|Lunes Viernes 07:00AM A 12:00PM 2:00 A 05:00PM|SI|NO|NO|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||8.112041811|72.48862641|4
816001182|AUDIFARMA|2|50006_2|META|ACACIAS|PROPIA|50006|CAF ACACIAS|CARRERA 21 NUMERO 14 25 BARRIO COOPERATIVO|PUNTO FÍSICO|NO APLICA|18000112554|LUNES VIERNES: 7:00 AM 7:00 PM SÁBADO: 7:00 AM 3:00 PM|SI|NO|NO|SI|SI|NO|NO PBS|NO|NO|NO|PUNTO EXCLUSIVO EPS SANITAS|SD|SD|
800149695|CRUZ VERDE|3|50006_3|META|ACACIAS|ALIADA|50006|DROGUERIA CAÑAHUATE ACACIAS|CALLE 13 # 13 73 75 BARRIO:JUAN MELLAO|PUNTO FÍSICO|NO APLICA|18000910545|LUNES A VIERNES 8:00 AM A 6:00 PM JORNADA CONTINUA SABADOS 8:00 AM 1:00 PM DOMIGOS Y FESTIVOS NO HAY SERVICIOS|SI|NO|SI|NO|NO|SI|PBS|NO|NO|NO||SD|SD|
828002423|DISCOLMETS|4|41006_4|HUILA|ACEVEDO|PROPIA|41006|SF DISCOLMEDICA ACEVEDO|CARRERA 3 # 4 43 BARRIO ANDAQUI|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|Lunes a Viernes: 8:00am 12:00pm y 2:00pm 5:00pm. /Sábado: 8:00am 12:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||SD|SD|
828002423|DISCOLMETS|5|41013_5|HUILA|AGRADO|ALIADA|41013|DROGUERIA FAMILIAR|CALLE 5 N0. 4 35 FRENTE AL PARQUE|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|Lunes a Viernes: 8:00am 12:00pm y 2:00pm 5:00pm / Sábado: 8:00am 12:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||SD|SD|
802000608|SUMINISTROS Y DOTACIONES|6|20011_6|CESAR|AGUACHICA|PROPIA|20011|SUMINISTROS Y DOTACIONES|Calle 5 # 19 30|PUNTO FÍSICO|NO APLICA|6053302424|LUNES VIERNES 8:00am 12:00pm / 2:00pm 5:00pm Sabados 8:00am 12:00pm|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||SD|SD|
828002423|DISCOLMETS|7|85010_7|CASANARE|AGUAZUL|PROPIA|85010|DISCOLMETS_AGUAZUL|CALLE 9 No. 19 44|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|Lunes a Viernes: 8:00am 12:00pm y 2:00pm 5:00pm.|SI|NO|SI|SI|NO|SI|PBS|NO|NO|NO|PUNTO EXCLUSIVO EPS SANITAS|SD|SD|4
802000608|SUMINISTROS Y DOTACIONES|8|85010_8|CASANARE|AGUAZUL|ALIADA|85010|SUMINISTROS Y DOTACIONES|CARRERA 16 # 11 79|PUNTO FÍSICO|NO APLICA|6053302424|LUNES VIERNES 8:00am 12:00pm / 2:00pm 5:00pm Sabados 8:00am 12:00pm|SI|NO|SI|SI|SI|NO|NO PBS|NO|NO|NO||SD|SD|
828002423|DISCOLMETS|10|41016_10|HUILA|AIPE|ALIADA|41016|DROGUERIA ECONOMICA|Cra 4 # 3 Esquina con Estación de Policia. Barrio maria Auxiliadora|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|Lunes a Viernes: 8:00am 12:00pm y 2:00pm 5:00pm. /Sábado: 8:00am 12:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI|PUNTO EXCLUSIVO EPS SANITAS|SD|SD|
900716566|INSUMEDIC|11|25019_11|CUNDINAMARCA|ALBÁN|ALIADA|25019|DROGUERÍA SERVIFARMA MINIMARKET|CARRERA 3 # 2 56 BARRIO ALBAN|PUNTO FÍSICO|NO APLICA|3212341969|Lunes a Viernes: 8:00am 5:00pm.Sábado: 8:00am 12:00pm.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||SD|SD|
900331412|GENHOSPI|12|52019_12|NARIÑO|ALBÁN|ALIADA|52019|DISPENSARIO INSUMEDIC|CALLE 4 # 1 45 BARRIO CENTRO|PUNTO FÍSICO|NO APLICA|6027316719|Lunes a viernes: 8:00 12am 2 pm 6:00pm y Sabados: 8 12 m|NO|NO|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||SD|SD|
802000608|SUMINISTROS Y DOTACIONES|13|44035_13|LA GUAJIRA|ALBANIA|PROPIA|44035|DISPENSARIO INSUMEDIC CABRERA|CARRERA 3 # 7 09 CABRERA|PUNTO FÍSICO|NO APLICA|6053302424|LUNES VIERNES: 8:00am 12:00pm / 2:00pm 5:00pm Sabados 8:00am 12:00pm|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||SD|SD|
