Nit|GESTOR|N°|COD. SUC|DEPARTAMENTO|CIUDAD / MUNICIPIO|"TIPOLOGIA (PROPIA/ALIADA)"|DANE|NOMBRE DE LA FARMACIA|DIRECCIÓN DE CONTACTO|TIPO DE ATENCIÓN FISICO/DOMICILIO|CANAL DOMICILIO|TELEFONO DE CONTACTO|HORARIO ATENCIÓN|DISPENSACIÓN DE MEDICAMENTOS REFRIGERADOS (S/N)|DISPENSACIÓN DE MEDICAMENTOS DE CONTROL ESPECIAL (S/N)|DISPENSACIÓN DE MEDICAMENTOS ALTO COSTO (S/N)|TUTELA (S/N)|NO PBS|PBS|COBERTURA|PLAN PREMIUM|ATENCION 24 HORAS (S/N)|DOMINGOS/ FESTIVOS(S/N)|NOVEDADES EN PUNTOS|LATITUD|LONGITUD|CAJAS
900249425|PHARMASAN|1|54003_1|NORTE DE SANTANDER|ABREGO|PROPIA|54003|PHARMASAN_ABREGO|CALLE 16 # 4 97 BARRIO SANTA BÁRBARA|PUNTO FÍSICO|NO APLICA|18000423739|L a V 7:00 am a 5:00 pm S 8:00 am a 12:00 Pm|SI|NO|NO|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||8.112041811|-72.48862641|4
816001182|AUDIFARMA|2|50006_2|META|ACACIAS|PROPIA|50006|CAF ACACIAS|CARRERA 21 # 14 25 BARRIO COOPERATIVO|PUNTO FÍSICO|NO APLICA|18000112554|L a V 7:00 AM  5:00 PM S 7:00 AM 3:00 PM|SI|NO|NO|SI|SI|NO|NO PBS|NO|NO|NO|PUNTO EXCLUSIVO EPS SANITAS|SD|SD|3
800149695|CRUZ VERDE|3|50006_3|META|ACACIAS|ALIADA|50006|DROGUERIA CAÑAHUATE ACACIAS|CALLE 13 # 13 73 75 BARRIO:JUAN MELLAO|PUNTO FÍSICO|NO APLICA|18000910545|L a V  8:00 AM A 12:00 PM   12:00 PM a 6:00 PM |SI|NO|SI|NO|NO|SI|PBS|NO|NO|NO||7.06872464418233|73.16981419177566|1
828002423|DISCOLMETS|4|41006_4|HUILA|ACEVEDO|PROPIA|41006|S.F ACEVEDO|CARRERA 3 #4-43 BARRIO ANDAQUIE|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|L a V 8:00am 12:00pm 2:00pm 5:00pm S 8:00am 12:00pm|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||SD|SD|1
828002423|DISCOLMETS|5|41013_5|HUILA|AGRADO|ALIADA|41013|CONV_AGRADO|CALLE 5 # 4 -35|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|L a V 8:00am 12:00pm 2:00pm 5:00pm S 8:00am 12:00pm|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||SD|SD|1
892300678|​ETICOS|6|20011_6|CESAR|VALLEDUPAR|ALIADA|20001|LA ECONOMIA DROGUERIA N. 465 D - 3108 |Calle 5 #  5 - 73|PUNTO FÍSICO|NO APLICA|3176565533|L a V 7:30 AM-6:00 PM S 7:30 AM-3:00 PM|SI|SI|SI|SI|SI|SI|PBS y NO PBS|SI|NO|NO||SD|SD|5
892300678|​ETICOS|6|20011_6|CESAR|VALLEDUPAR|PROPIA|20001|DISPENSARIO ETICOS NO 3110|KRA 20 n 43 06 san Martin|PUNTO FÍSICO|NO APLICA|3182804962|L a V 7:30 AM-6:00 PM S 7:30 AM-3:00 PM|SI|NO|SI|SI|NO|SI|PBS|SI|NO|NO||SD|SD|4
892300678|​ETICOS|6|20011_6|CESAR|VALLEDUPAR|PROPIA|20001|DISPENSARIO ETICOS NO 3111|CALLE 6 # 25 - 06 LOCAL 1 NUEVA ESPERANZA|PUNTO FÍSICO|NO APLICA|3182804989|L a V 7:30 AM-6:00 PM S 7:30 AM-3:00 PM|SI|SI|SI|SI|SI|SI|PBS y NO PBS|SI|NO|NO||SD|SD|14
892300678|​ETICOS|6|20011_6|CESAR|VALLEDUPAR|PROPIA|20001|DIPENSARIO ETICOS NO 5045|CALLE 16 # 12-05|PUNTO FÍSICO|NO APLICA|3182804995|L a V 7:30 AM-6:00 PM S 7:30 AM-3:00 PM|SI|SI|SI|SI|SI|SI|PBS y NO PBS|SI|NO|NO||SD|SD|
892300678|​ETICOS|6|20011_6|CESAR|VALLEDUPAR|PROPIA|20001|DISPENSARIO No 3122|CALLE  16a # 14e-45 Dangon|PUNTO FÍSICO|NO APLICA|3182804919|L a V 7:30 AM-6:00 PM S 7:30 AM-3:00 PM|SI|SI|SI|SI|SI|SI|PBS y NO PBS|SI|NO|NO||SD|SD|16
